Model,C_best,Accuracy,Precision,Recall,ROC_AUC
LogisticCV L2,251.18864315095772,0.5833333333333334,0.6764705882352942,0.6216216216216216,0.6075205640423031
LogisticCV L1,0.03162277660168379,0.6333333333333333,0.6271186440677966,1.0,0.5587544065804936
