sasdate,indpro_g_mom_pct
1959-03-01,1.4299925091504573
1959-04-01,2.1080099193941937
1959-05-01,1.4953525674305634
1959-06-01,0.1137473065217165
1959-07-01,-2.423681940507594
1959-08-01,-3.4463836584856633
1959-09-01,-0.12107874071958236
1959-10-01,-0.7291136294254486
1959-11-01,0.6078881103560363
1959-12-01,5.998197879630052
1960-01-01,2.591875276565947
1960-02-01,-0.8936684258679772
1960-03-01,-0.9021482342490117
1960-04-01,-0.7956339438184745
1960-05-01,-0.11430199488287052
1960-06-01,-1.265159979240904
1960-07-01,-0.34807547872302
1960-08-01,-0.11586234430156495
1960-09-01,-1.0523437623455312
1960-10-01,-0.11722459034362309
1960-11-01,-1.4219586012544028
1960-12-01,-1.9278040263284613
1961-01-01,0.12166744680817132
1961-02-01,-0.12166744680817132
1961-03-01,0.6064124849488373
1961-04-01,2.03489827854324
1961-05-01,1.528323299098977
1961-06-01,1.3906535405808995
1961-07-01,1.1441441244113282
1961-08-01,0.9058147434501951
1961-09-01,-0.1124642373194984
1961-10-01,1.9002561825051334
1961-11-01,1.5387749200116208
1961-12-01,0.8684396912853831
1962-01-01,-0.8688453765588022
1962-02-01,1.6228916116786785
1962-03-01,0.5350309935429731
1962-04-01,0.2129757310795899
1962-05-01,-0.10662946877024737
1962-06-01,-0.21320318947632977
1962-07-01,0.9568391149026301
1962-08-01,0.10583989263013294
1962-09-01,0.6323068830808243
1962-10-01,0.10506192393888725
1962-11-01,0.41875863407838665
1962-12-01,0.0
1963-01-01,0.728537883907876
1963-02-01,1.1350458952861242
1963-03-01,0.6131768129890691
1963-04-01,0.9135241514445447
1963-05-01,1.2045750872835548
1963-06-01,0.29916778106144903
1963-07-01,-0.39908959777426034
1963-08-01,0.19974388938881482
1963-09-01,0.9920438019708211
1963-10-01,0.6887669364506355
1963-11-01,0.488984296497863
1963-12-01,-0.19545234534406042
1964-01-01,0.8758218109405913
1964-02-01,0.6761297537822841
1964-03-01,0.0
1964-04-01,1.62304327120264
1964-05-01,0.5666274919579717
1964-06-01,0.28193962225273594
1964-07-01,0.6552469121725135
1964-08-01,0.650636585868769
1964-09-01,0.3702930437576857
1964-10-01,-1.394681257666397
1964-11-01,3.0428867789319636
1964-12-01,1.1739964098462785
1965-01-01,1.0712092720051913
1965-02-01,0.6198598324025362
1965-03-01,1.315194689390209
1965-04-01,0.4345822536969468
1965-05-01,0.7774561930077528
1965-06-01,0.7717761005817447
1965-07-01,0.9350191834732069
1965-08-01,0.42210720236735
1965-09-01,0.25228667623626855
1965-10-01,1.003448608380797
1965-11-01,0.415098548650672
1965-12-01,1.235056300361892
1966-01-01,0.9772992331326336
1966-02-01,0.6460669618901793
1966-03-01,1.3595573304504338
1966-04-01,0.15884360495785899
1966-05-01,0.946922553402052
1966-06-01,0.4702653138763946
1966-07-01,0.5459105178647228
1966-08-01,0.07749674352131031
1966-09-01,0.9281703608975178
1966-10-01,0.6903753406040103
1966-11-01,-0.6903753406040103
1966-12-01,0.2305598531521902
1967-01-01,0.4706226395218227
1967-02-01,-1.140601078669512
1967-03-01,-0.5650914089983861
1967-04-01,0.9386198744088858
1967-05-01,-0.8761558398040492
1967-06-01,-0.012720991098014167
1967-07-01,-0.2278060263926296
1967-08-01,1.8976892849579485
1967-09-01,-0.16249222773314642
1967-10-01,0.8112461026878126
1967-11-01,1.4199118243468867
1967-12-01,1.0712859555578547
1968-01-01,-0.10779977857335865
1968-02-01,0.3576905126692065
1968-03-01,0.3117618427186386
1968-04-01,0.14457319207319408
1968-05-01,1.115575868073293
1968-06-01,0.3665040813692677
1968-07-01,-0.15324433054275666
1968-08-01,0.27852504979382076
1968-09-01,0.378122070235154
1968-10-01,0.19829791907466365
1968-11-01,1.2852539659401696
1968-12-01,0.3153240750786157
1969-01-01,0.6030681151341533
1969-02-01,0.6379706882599923
1969-03-01,0.7809390952764339
1969-04-01,-0.36858558050396617
1969-05-01,-0.3785326402065081
1969-06-01,0.971998525506601
1969-07-01,0.5266915724361443
1969-08-01,0.2295900767012693
1969-09-01,-0.022500581786122353
1969-10-01,0.02914751218496825
1969-11-01,-0.9470246915134872
1969-12-01,-0.26875901272611635
1970-01-01,-1.8691156523175323
1970-02-01,-0.06593470593307948
1970-03-01,-0.1298866050944092
1970-04-01,-0.25736703801331196
1970-05-01,-0.11660170976566242
1970-06-01,-0.324017674185173
1970-07-01,0.2452345901693409
1970-08-01,-0.17848610316089086
1970-09-01,-0.6917138292565461
1970-10-01,-2.0207023092504883
1970-11-01,-0.6074166014195193
1970-12-01,2.2703857078528067
1971-01-01,0.7664574852686901
1971-02-01,-0.1907972298131444
1971-03-01,-0.10850306930878517
1971-04-01,0.5599566667060962
1971-05-01,0.5063207951183646
1971-06-01,0.41844765722660604
1971-07-01,-0.290747732012564
1971-08-01,-0.5819177253581831
1971-09-01,1.6120728669809736
1971-10-01,0.7456615985678816
1971-11-01,0.423498413801493
1971-12-01,1.1479830997321194
1972-01-01,2.366781645832372
1972-02-01,1.0083050776229285
1972-03-01,0.694489121334696
1972-04-01,0.9872355785474074
1972-05-01,0.009473526964765
1972-06-01,0.2631992214039425
1972-07-01,-0.09428395193133987
1972-08-01,1.3633963941877436
1972-09-01,0.7715642717166737
1972-10-01,1.2771535556731717
1972-11-01,1.1770076865677659
1972-12-01,1.1198082864492864
1973-01-01,0.7225042839835716
1973-02-01,1.4268443621197946
1973-03-01,0.04280606118496344
1973-04-01,-0.13767219604594594
1973-05-01,0.654824947356536
1973-06-01,0.1287600674221956
1973-07-01,0.36976340855683354
