Model,k_features,features,k_components,Alpha,Train_RMSE,Train_MAE,Train_R2,Test_RMSE,Test_MAE,Test_R2
PLSR,,,1.0,,0.8090263690767904,0.561505653850037,0.34884506736087817,22.836248548056027,3.4860283069498403,0.6548228654088581
Lasso (Week-2 baseline),,,,0.06846096838574658,0.7414754621352948,0.516062291791325,0.4530438028076793,24.01813915645321,3.626142339076018,0.6181689776718229
Stepwise-Backward OLS,6.0,"['CPIAUCSL', 'GS10', 'M2SL', 'PAYEMS', 'UMCSENTx', 'S&P 500']",,,0.728975546244244,0.510651142809067,0.47132971503978904,26.67967527933448,4.000554798623927,0.52885609659163
Stepwise-Forward OLS,6.0,"['PAYEMS', 'GS10', 'M2SL', 'S&P 500', 'CPIAUCSL', 'UMCSENTx']",,,0.728975546244244,0.5106511428090695,0.47132971503978904,26.67967527933558,4.000554798623993,0.5288560965915909
PCR,,,3.0,,0.81584649809556,0.5557863338596543,0.33782026131692455,30.497916797330454,4.65917821500918,0.38435146921017815
